Month,On land stocks (days),Onboard vessels (days),Overseas awaiting delivery (days),Total cover (days)
2018-01-01,53.0,23.0,0.0,76.0
2018-02-01,56.0,23.0,0.0,79.0
2018-03-01,56.0,24.0,0.0,80.0
2018-04-01,52.0,16.0,0.0,68.0
2018-05-01,52.0,18.0,0.0,70.0
2018-06-01,53.0,24.0,8.0,85.0
2018-07-01,54.0,18.0,8.0,80.0
2018-08-01,52.0,19.0,8.0,79.0
2018-09-01,54.0,17.0,6.0,77.0
2018-10-01,55.0,16.0,7.0,78.0
2018-11-01,50.0,16.0,5.0,71.0
2018-12-01,53.0,15.0,8.0,76.0
2019-01-01,54.0,27.0,9.0,90.0
2019-02-01,56.0,27.0,7.0,90.0
2019-03-01,58.0,29.0,7.0,94.0
2019-04-01,58.0,24.0,6.0,88.0
2019-05-01,60.0,28.0,4.0,92.0
2019-06-01,59.0,13.0,4.0,76.0
2019-07-01,58.0,18.0,6.0,82.0
2019-08-01,57.0,16.0,3.0,76.0
2019-09-01,57.0,11.0,6.0,74.0
2019-10-01,54.0,17.0,6.0,77.0
2019-11-01,54.0,13.0,9.0,76.0
2019-12-01,55.0,19.0,10.0,84.0
2020-01-01,55.0,15.0,8.0,78.0
2020-02-01,56.0,18.0,7.0,81.0
2020-03-01,56.0,12.0,7.0,75.0
2020-04-01,61.0,12.0,6.0,79.0
2020-05-01,60.0,14.0,8.0,82.0
2020-06-01,61.0,12.0,7.0,80.0
2020-07-01,63.0,11.0,10.0,84.0
2020-08-01,65.0,11.0,9.0,85.0
2020-09-01,61.0,11.0,6.0,78.0
2020-10-01,62.0,11.0,12.0,85.0
2020-11-01,63.0,14.0,9.0,86.0
2020-12-01,60.0,10.0,4.0,74.0
2021-01-01,69.0,14.0,8.0,91.0
2021-02-01,64.0,11.0,11.0,86.0
2021-03-01,65.0,9.0,9.0,83.0
2021-04-01,79.0,12.0,13.0,104.0
2021-05-01,72.0,13.0,12.0,97.0
2021-06-01,75.0,14.0,13.0,102.0
2021-07-01,75.0,12.0,12.0,99.0
2021-08-01,77.0,12.0,11.0,100.0
2021-09-01,72.0,11.0,7.0,90.0
2021-10-01,73.0,11.0,14.0,98.0
2021-11-01,69.0,14.0,16.0,99.0
2021-12-01,68.0,12.0,10.0,90.0
2022-01-01,69.0,14.0,12.0,95.0
2022-02-01,76.0,11.0,14.0,101.0
2022-03-01,72.0,12.0,14.0,98.0
2022-04-01,63.0,13.0,11.0,87.0
2022-05-01,64.0,12.0,12.0,88.0
2022-06-01,59.0,14.0,12.0,85.0
2022-07-01,58.0,12.0,15.0,85.0
2022-08-01,60.0,15.0,10.0,85.0
2022-09-01,54.0,12.0,12.0,78.0
2022-10-01,63.0,13.0,13.0,89.0
2022-11-01,62.0,11.0,13.0,86.0
2022-12-01,59.0,11.0,12.0,82.0
2023-01-01,62.0,18.0,9.0,89.0
2023-02-01,62.0,13.0,10.0,85.0
2023-03-01,61.0,12.0,13.0,86.0
2023-04-01,52.0,13.0,11.0,76.0
2023-05-01,51.0,15.0,18.0,84.0
2023-06-01,52.0,16.0,6.0,74.0
2023-07-01,55.0,14.0,7.0,76.0
2023-08-01,54.0,15.0,9.0,78.0
2023-09-01,53.0,13.0,9.0,75.0
2023-10-01,53.0,14.0,4.0,71.0
2023-11-01,50.0,15.0,7.0,72.0
2023-12-01,54.0,12.0,10.0,76.0
2024-01-01,54.0,14.0,13.0,81.0
2024-02-01,58.0,10.0,3.0,71.0
2024-03-01,54.0,13.0,18.0,85.0
2024-04-01,49.0,12.0,26.0,87.0
2024-05-01,50.0,10.0,8.0,68.0
2024-06-01,52.0,12.0,4.0,68.0
2024-07-01,51.0,12.0,26.0,89.0
2024-08-01,51.0,13.0,7.0,71.0
2024-09-01,50.0,14.0,3.0,67.0
2024-10-01,48.0,11.0,9.0,68.0
2024-11-01,46.0,15.0,9.0,70.0
2024-12-01,49.0,11.0,7.0,67.0
2025-01-01,54.0,13.0,6.0,73.0
2025-02-01,55.0,12.0,4.0,71.0
2025-03-01,56.0,10.0,6.0,72.0
2025-04-01,50.0,9.0,3.0,62.0
2025-05-01,48.0,11.0,8.0,67.0
2025-06-01,47.0,11.0,4.0,62.0
2025-07-01,49.0,11.0,7.0,67.0
2025-08-01,49.0,10.0,3.0,62.0
2025-09-01,53.0,9.0,4.0,66.0
2025-10-01,48.0,10.0,5.0,63.0
2025-11-01,46.0,10.0,4.0,60.0
2025-12-01,50.0,8.0,1.0,59.0
2026-01-01,49.0,11.0,3.0,63.0
2026-02-01,49.0,10.0,2.0,61.0
