id,Country,Longitude,Latitude,Total oil imports BL,Diesel oil BL,Refined products BL,Crude feedstocks BL,Import Share
702,Singapore,103.8198,1.3521,13.6318,4.6613,13.6130,0.0189,0.2175
410,South Korea,127.7669,35.9078,12.8931,8.7142,12.8931,0.0000,0.2057
458,Malaysia,101.9758,4.2105,10.6508,4.3535,6.7226,3.9283,0.1699
158,Taiwan,120.9605,23.6978,4.2750,3.6156,4.2748,0.0002,0.0682
356,India,78.9629,20.5937,4.1948,2.4525,4.1927,0.0017,0.0669
96,Brunei Darussalam,114.7277,4.5353,3.8727,2.6472,2.7127,1.1597,0.0618
156,China,104.1954,35.8617,3.5947,0.7647,3.5942,0.0005,0.0574
840,United States,-95.7129,37.0902,3.0301,0.0037,0.8935,2.1363,0.0483
392,Japan,138.2529,36.2048,2.1516,2.0208,2.1516,0.0000,0.0343
704,Vietnam,108.2772,14.0583,1.3474,0.0001,0.0068,1.3406,0.0215
784,United Arab Emirates,53.8478,23.4241,0.8856,0.8555,0.8626,0.0230,0.0141
566,Nigeria,8.6753,9.0820,0.5769,0.0000,0.0000,0.5769,0.0092
554,New Zealand,174.8860,-40.9006,0.3907,0.0093,0.0186,0.3719,0.0062
32,Argentina,-63.6167,-38.4161,0.2748,0.0000,0.0000,0.2748,0.0044
512,Oman,55.9233,21.4735,0.2641,0.0000,0.1737,0.0904,0.0042
12,Algeria,1.6596,28.0339,0.1465,0.0000,0.0000,0.1465,0.0023
764,Thailand,100.9925,15.8700,0.1314,0.0023,0.1312,0.0001,0.0021
598,Papua New Guinea,143.9555,-6.3150,0.1034,0.0001,0.0002,0.1032,0.0016
48,Bahrain,50.5577,26.0667,0.0975,0.0975,0.0975,0.0000,0.0016
360,Indonesia,113.9213,-0.7893,0.0600,0.0122,0.0298,0.0302,0.0010
344,Hong Kong,114.1095,22.3964,0.0553,0.0003,0.0552,0.0000,0.0009
276,Germany,10.4515,51.1657,0.0116,0.0000,0.0114,0.0002,0.0002
826,United Kingdom,-3.4360,55.3781,0.0061,0.0000,0.0060,0.0000,0.0001
56,Belgium,4.4699,50.5039,0.0049,0.0000,0.0049,0.0000,0.0001
250,France,2.2137,46.2276,0.0038,0.0000,0.0038,0.0000,0.0001
528,Netherlands,5.2913,52.1326,0.0035,0.0000,0.0035,0.0000,0.0001
616,Poland,19.1451,51.9194,0.0032,0.0000,0.0032,0.0000,0.0001
756,Switzerland,8.2275,46.8182,0.0031,0.0000,0.0031,0.0000,0.0000
578,Norway,8.4689,60.4720,0.0030,0.0030,0.0030,0.0000,0.0000
710,South Africa,22.9375,-30.5595,0.0023,0.0008,0.0023,0.0000,0.0000
724,Spain,-3.7492,40.4637,0.0015,0.0000,0.0015,0.0000,0.0000
124,Canada,-106.3468,56.1304,0.0015,0.0000,0.0015,0.0000,0.0000
380,Italy,12.5674,41.8719,0.0013,0.0000,0.0013,0.0000,0.0000
752,Sweden,18.6435,60.1282,0.0006,0.0000,0.0005,0.0000,0.0000
76,Brazil,-51.9253,-14.2350,0.0001,0.0000,0.0001,0.0000,0.0000
300,Greece,21.8243,39.0742,0.0001,0.0000,0.0001,0.0000,0.0000
