Year,Year Date,Product,Sales BL,Share,Product Order
2011,2011-01-01,Petrol,18.6751,0.3417,1
2011,2011-01-01,Diesel,22.6802,0.4149,2
2011,2011-01-01,Aviation turbine,7.2212,0.1321,3
2011,2011-01-01,LPG,3.7054,0.0678,4
2011,2011-01-01,Other products,2.3791,0.0435,5
2012,2012-01-01,Petrol,18.5922,0.3314,1
2012,2012-01-01,Diesel,24.3212,0.4335,2
2012,2012-01-01,Aviation turbine,7.5465,0.1345,3
2012,2012-01-01,LPG,3.3626,0.0599,4
2012,2012-01-01,Other products,2.2797,0.0406,5
2013,2013-01-01,Petrol,18.6360,0.3230,1
2013,2013-01-01,Diesel,25.6656,0.4448,2
2013,2013-01-01,Aviation turbine,8.0275,0.1391,3
2013,2013-01-01,LPG,3.1837,0.0552,4
2013,2013-01-01,Other products,2.1923,0.0380,5
2014,2014-01-01,Petrol,18.1310,0.3157,1
2014,2014-01-01,Diesel,26.1909,0.4561,2
2014,2014-01-01,Aviation turbine,8.1221,0.1414,3
2014,2014-01-01,LPG,3.0265,0.0527,4
2014,2014-01-01,Other products,1.9534,0.0340,5
2015,2015-01-01,Petrol,18.1923,0.3179,1
2015,2015-01-01,Diesel,26.2570,0.4589,2
2015,2015-01-01,Aviation turbine,8.2568,0.1443,3
2015,2015-01-01,LPG,2.4973,0.0436,4
2015,2015-01-01,Other products,2.0173,0.0353,5
2016,2016-01-01,Petrol,18.0218,0.3135,1
2016,2016-01-01,Diesel,25.9192,0.4510,2
2016,2016-01-01,Aviation turbine,8.7758,0.1527,3
2016,2016-01-01,LPG,2.6780,0.0466,4
2016,2016-01-01,Other products,2.0819,0.0362,5
2017,2017-01-01,Petrol,17.8676,0.2997,1
2017,2017-01-01,Diesel,28.3243,0.4750,2
2017,2017-01-01,Aviation turbine,9.1251,0.1530,3
2017,2017-01-01,LPG,2.2059,0.0370,4
2017,2017-01-01,Other products,2.1047,0.0353,5
2018,2018-01-01,Petrol,17.8681,0.2924,1
2018,2018-01-01,Diesel,29.4165,0.4814,2
2018,2018-01-01,Aviation turbine,9.4518,0.1547,3
2018,2018-01-01,LPG,2.0083,0.0329,4
2018,2018-01-01,Other products,2.3650,0.0387,5
2019,2019-01-01,Petrol,17.3485,0.2869,1
2019,2019-01-01,Diesel,29.5781,0.4892,2
2019,2019-01-01,Aviation turbine,9.3637,0.1549,3
2019,2019-01-01,LPG,1.8773,0.0310,4
2019,2019-01-01,Other products,2.2983,0.0380,5
2020,2020-01-01,Petrol,15.1342,0.2902,1
2020,2020-01-01,Diesel,29.3510,0.5627,2
2020,2020-01-01,Aviation turbine,4.0663,0.0780,3
2020,2020-01-01,LPG,1.6991,0.0326,4
2020,2020-01-01,Other products,1.9062,0.0365,5
2021,2021-01-01,Petrol,15.5008,0.2893,1
2021,2021-01-01,Diesel,30.9467,0.5777,2
2021,2021-01-01,Aviation turbine,3.6841,0.0688,3
2021,2021-01-01,LPG,1.6103,0.0301,4
2021,2021-01-01,Other products,1.8297,0.0342,5
2022,2022-01-01,Petrol,15.9733,0.2792,1
2022,2022-01-01,Diesel,31.4267,0.5494,2
2022,2022-01-01,Aviation turbine,6.2269,0.1089,3
2022,2022-01-01,LPG,1.5879,0.0278,4
2022,2022-01-01,Other products,1.9890,0.0348,5
2023,2023-01-01,Petrol,16.0730,0.2652,1
2023,2023-01-01,Diesel,32.5740,0.5374,2
2023,2023-01-01,Aviation turbine,8.4458,0.1393,3
2023,2023-01-01,LPG,1.5361,0.0253,4
2023,2023-01-01,Other products,1.9824,0.0327,5
2024,2024-01-01,Petrol,16.2455,0.2603,1
2024,2024-01-01,Diesel,33.4184,0.5355,2
2024,2024-01-01,Aviation turbine,9.3536,0.1499,3
2024,2024-01-01,LPG,1.5260,0.0245,4
2024,2024-01-01,Other products,1.8615,0.0298,5
2025,2025-01-01,Petrol,15.7978,0.2525,1
2025,2025-01-01,Diesel,33.5083,0.5356,2
2025,2025-01-01,Aviation turbine,10.0747,0.1610,3
2025,2025-01-01,LPG,1.5304,0.0245,4
2025,2025-01-01,Other products,1.6465,0.0263,5
