State,State Order,Year,Year Date,Petrol ML,Diesel ML,Road fuel ML
NSW,1,2011,2011-01-01,5947.900000000001,4788.3,10736.2
NSW,1,2012,2012-01-01,5894.2,5009.0,10903.2
NSW,1,2013,2013-01-01,5928.1,5358.0,11286.1
NSW,1,2014,2014-01-01,5854.7,5469.0,11323.7
NSW,1,2015,2015-01-01,5788.8,5603.0,11391.8
NSW,1,2016,2016-01-01,5687.1,5718.7,11405.8
NSW,1,2017,2017-01-01,5851.8,6337.0,12188.8
NSW,1,2018,2018-01-01,5775.6,6671.5,12447.1
NSW,1,2019,2019-01-01,5575.2,6812.6,12387.8
NSW,1,2020,2020-01-01,4926.3,6675.0,11601.3
NSW,1,2021,2021-01-01,4687.3,6988.1,11675.400000000001
NSW,1,2022,2022-01-01,5006.2,7184.8,12191.0
NSW,1,2023,2023-01-01,5011.1,7522.5,12533.6
NSW,1,2024,2024-01-01,5045.5,7608.8,12654.3
NSW,1,2025,2025-01-01,5056.1,7741.2,12797.3
VIC,2,2011,2011-01-01,4707.5,3651.0,8358.5
VIC,2,2012,2012-01-01,4707.7,3923.3,8631.0
VIC,2,2013,2013-01-01,4826.1,4001.0,8827.1
VIC,2,2014,2014-01-01,4785.5,4217.8,9003.3
VIC,2,2015,2015-01-01,4804.1,4397.0,9201.1
VIC,2,2016,2016-01-01,4838.7,4516.5,9355.2
VIC,2,2017,2017-01-01,4773.2,4876.1,9649.3
VIC,2,2018,2018-01-01,4800.6,4941.8,9742.400000000001
VIC,2,2019,2019-01-01,4734.0,5115.5,9849.5
VIC,2,2020,2020-01-01,3699.8,5049.4,8749.2
VIC,2,2021,2021-01-01,4031.6,5276.6,9308.2
VIC,2,2022,2022-01-01,4379.1,5468.0,9847.1
VIC,2,2023,2023-01-01,4422.4,5623.4,10045.8
VIC,2,2024,2024-01-01,4404.6,5660.9,10065.5
VIC,2,2025,2025-01-01,4348.8,5665.2,10014.0
QLD,3,2011,2011-01-01,4137.0,6413.3,10550.3
QLD,3,2012,2012-01-01,4065.6,7171.5,11237.1
QLD,3,2013,2013-01-01,3985.9,7359.5,11345.4
QLD,3,2014,2014-01-01,3721.7,7176.8,10898.5
QLD,3,2015,2015-01-01,3861.5,7125.400000000001,10986.900000000001
QLD,3,2016,2016-01-01,3740.6,6730.6,10471.2
QLD,3,2017,2017-01-01,3671.6,7448.2,11119.8
QLD,3,2018,2018-01-01,3725.8,7969.4,11695.2
QLD,3,2019,2019-01-01,3563.7,7757.799999999999,11321.5
QLD,3,2020,2020-01-01,3302.3,7552.2,10854.5
QLD,3,2021,2021-01-01,3442.6,7889.9,11332.5
QLD,3,2022,2022-01-01,3373.6,7923.2,11296.8
QLD,3,2023,2023-01-01,3308.8,8268.5,11577.3
QLD,3,2024,2024-01-01,3426.4,8770.5,12196.9
QLD,3,2025,2025-01-01,3276.9,8763.5,12040.4
WA,4,2011,2011-01-01,2032.0,5228.9,7260.9
WA,4,2012,2012-01-01,2104.0,5677.6,7781.6
WA,4,2013,2013-01-01,2071.0,6200.6,8271.6
WA,4,2014,2014-01-01,1921.3,6452.8,8374.1
WA,4,2015,2015-01-01,1935.6,6355.6,8291.2
WA,4,2016,2016-01-01,1992.2,6207.8,8200.0
WA,4,2017,2017-01-01,1842.2,6723.7,8565.9
WA,4,2018,2018-01-01,1828.1,6583.7,8411.8
WA,4,2019,2019-01-01,1813.0,6835.1,8648.1
WA,4,2020,2020-01-01,1662.2,7054.5,8716.7
WA,4,2021,2021-01-01,1780.3,7642.4,9422.699999999999
WA,4,2022,2022-01-01,1705.3,7657.6,9362.9
WA,4,2023,2023-01-01,1830.6,7890.8,9721.4
WA,4,2024,2024-01-01,1884.2,8055.7,9939.9
WA,4,2025,2025-01-01,1705.2,8042.8,9748.0
SA,5,2011,2011-01-01,1314.3,1524.2,2838.5
SA,5,2012,2012-01-01,1299.2,1547.9,2847.1000000000004
SA,5,2013,2013-01-01,1290.4,1705.5,2995.9
SA,5,2014,2014-01-01,1273.9,1743.1,3017.0
SA,5,2015,2015-01-01,1257.0,1700.8,2957.8
SA,5,2016,2016-01-01,1245.6,1654.3999999999999,2900.0
SA,5,2017,2017-01-01,1252.2,1720.5,2972.7
SA,5,2018,2018-01-01,1234.2,1848.5,3082.7
SA,5,2019,2019-01-01,1168.2,1776.6,2944.8
SA,5,2020,2020-01-01,1082.9,1774.6,2857.5
SA,5,2021,2021-01-01,1063.9,1864.4,2928.3
SA,5,2022,2022-01-01,1044.2,1951.5,2995.7
SA,5,2023,2023-01-01,1050.4,1991.7,3042.1000000000004
SA,5,2024,2024-01-01,1047.9,1974.7,3022.6000000000004
SA,5,2025,2025-01-01,976.9,1869.2,2846.1
TAS,6,2011,2011-01-01,385.9,390.2,776.0999999999999
TAS,6,2012,2012-01-01,373.4,389.3,762.7
TAS,6,2013,2013-01-01,402.9,420.8,823.7
TAS,6,2014,2014-01-01,444.3,436.0,880.3
TAS,6,2015,2015-01-01,429.5,458.8,888.3
TAS,6,2016,2016-01-01,407.3,466.9,874.2
TAS,6,2017,2017-01-01,378.6,471.3,849.9000000000001
TAS,6,2018,2018-01-01,381.7,534.9,916.5999999999999
TAS,6,2019,2019-01-01,371.0,560.1,931.1
TAS,6,2020,2020-01-01,332.6,574.5,907.1
TAS,6,2021,2021-01-01,359.4,584.3,943.6999999999999
TAS,6,2022,2022-01-01,332.9,550.2,883.1
TAS,6,2023,2023-01-01,322.1,570.9,893.0
TAS,6,2024,2024-01-01,311.4,559.6,871.0
TAS,6,2025,2025-01-01,309.1,605.9,915.0
NT,7,2011,2011-01-01,150.5,684.1,834.6
NT,7,2012,2012-01-01,148.2,602.6,750.8
NT,7,2013,2013-01-01,131.5,620.1,751.6
NT,7,2014,2014-01-01,129.4,695.1,824.5
NT,7,2015,2015-01-01,115.8,617.0,732.8
NT,7,2016,2016-01-01,110.2,624.4,734.6
NT,7,2017,2017-01-01,98.0,747.7,845.7
NT,7,2018,2018-01-01,122.1,866.6,988.7
NT,7,2019,2019-01-01,123.9,720.6,844.5
NT,7,2020,2020-01-01,128.1,670.9,799.0
NT,7,2021,2021-01-01,136.0,701.3,837.3
NT,7,2022,2022-01-01,132.1,691.3,823.4
NT,7,2023,2023-01-01,127.3,706.4,833.6999999999999
NT,7,2024,2024-01-01,126.0,788.1,914.1
NT,7,2025,2025-01-01,124.5,820.5,945.0
